name,type,furigana,img,no,access,time,holiday,tell,tell2,URL,ido,keido,rink,
小倉屋,和菓子,あ,./images/mise/39.jpg,427-0029,島田市日之出町2-22,9:00～19:30,水曜日,0547-35-4040,0547354041,,34.83212,138.174175,http://maps.google.com/maps?daddr=34.83212,138.174175&saddr=%E7%8F%BE%E5%9C%A8%E5%9C%B0&dirflg=d&t=m
石畳茶屋,喫茶店,あ,./images/mise/2.jpg,428-0022,島田市金谷2482-1,10:00～16:00,月曜日,0547-45-5715,0547455716,,34.816943,138.124605,http://maps.google.com/maps?daddr=34.816904,138.124619&saddr=%E7%8F%BE%E5%9C%A8%E5%9C%B0&dirflg=d&t=m
川口菓子店,和洋菓子,か,./images/mise/59.jpg,427-0025,島田市大井町2327-3,,,0547-37-3777,0547373778,,34.834419,138.170756,http://maps.google.com/maps?daddr=34.834419,138.170756&saddr=%E7%8F%BE%E5%9C%A8%E5%9C%B0&dirflg=d&t=m
増田鯛焼店,和菓子,ま,./images/mise/52.jpg,427-0128,島田市三ッ合町2673-1,9:30～18:00,日曜日・水曜日,0547-36-1355,0547361356,,34.84011,138.156952,http://maps.google.com/maps?daddr=34.84011,138.156952&saddr=%E7%8F%BE%E5%9C%A8%E5%9C%B0&dirflg=d&t=m
大石菓子店,和洋菓子,あ,./images/mise/56.jpg,427-0035,島田市向谷元町742-6,,,0547-36-0556,0547360557,,34.846084,138.152838,http://maps.google.com/maps?daddr=34.846084,138.152838&saddr=%E7%8F%BE%E5%9C%A8%E5%9C%B0&dirflg=d&t=m
茶房 遊(YOU),喫茶店,た,./images/mise/7.jpg,427-0111,島田市川根町身成4693,10:00～18:00,,0547-53-2058,0547532059,http://tea-asahien.com/,34.930083,138.085203,http://maps.google.com/maps?daddr=34.930083,138.085203&saddr=%E7%8F%BE%E5%9C%A8%E5%9C%B0&dirflg=d&t=m
中村菓子舗,和菓子,な,./images/mise/65.jpg,427-0117,島田市本通7丁目7739,,,0547-37-5658,0547375659,,34.832222,138.182132,http://maps.google.com/maps?daddr=34.832222,138.182132&saddr=%E7%8F%BE%E5%9C%A8%E5%9C%B0&dirflg=d&t=m
土屋もちや,和菓子,た,./images/mise/48.jpg,427-0114,島田市金谷町河原2117-1,9:00～16:00,,0547-45-2826,0547452827,,34.836364,138.175997,http://maps.google.com/maps?daddr=34.833092,138.152558&saddr=%E7%8F%BE%E5%9C%A8%E5%9C%B0&dirflg=d&t=m
土屋商店,和洋菓子,た,./images/mise/62.jpg,427-0113,島田市中央町20-6,,,0547-37-3592,0547373593,,34.83673,138.177735,http://maps.google.com/maps?daddr=34.83673,138.177735&saddr=%E7%8F%BE%E5%9C%A8%E5%9C%B0&dirflg=d&t=m
道の市 味の里,洋菓子,ま,./images/mise/35.jpg,427-0131,島田市川根町笹間渡18-1,10:00～17:00,火曜日,0547-53-3675,0547533676,,34.957755,138.091919,http://maps.google.com/maps?daddr=34.957755,138.091919&saddr=%E7%8F%BE%E5%9C%A8%E5%9C%B0&dirflg=d&t=m
八木和洋菓子店,和洋菓子,や,./images/mise/63.jpg,427-0135,島田市阪本1446-32,8:00～18:30,日曜日,0547-38-0025,0547380026,,34.807375,138.219831,http://maps.google.com/maps?daddr=34.807375,138.219831&saddr=%E7%8F%BE%E5%9C%A8%E5%9C%B0&dirflg=d&t=m
不二家FC島田店,洋菓子,は,./images/mise/32.jpg,427-0122,島田市日之出町1?11,9:30～21:00,,0547-35-1516,0547351517,http://www.fujiya-peko.co.jp/,34.831745,138.174663,http://maps.google.com/maps?daddr=34.831745,138.174663&saddr=%E7%8F%BE%E5%9C%A8%E5%9C%B0&dirflg=d&t=m
宝家,和菓子,た,./images/mise/45.jpg,427-0022,島田市本通4丁目4?9,9:00～19:00,日曜日,0547-37-3830,0547373831,,34.832103,138.176388,http://maps.google.com/maps?daddr=34.832103,138.176388&saddr=%E7%8F%BE%E5%9C%A8%E5%9C%B0&dirflg=d&t=m
野菜とパウンドケーキのお店 エポウ,洋菓子,や,./images/mise/36.jpg,427-0133,島田市栄町2-3,11:30～20:00日・祝11:30～19:30,,0547-37-7211,0547377212,http://s.ameblo.jp/epou201199/,34.831053,138.174705,http://maps.google.com/maps?daddr=34.831386,138.1748597&saddr=%E7%8F%BE%E5%9C%A8%E5%9C%B0&dirflg=d&t=m
有限会社龍月堂,和洋菓子,ら,./images/mise/64.jpg,427-0137,島田市本通6丁目7847,8:00～19:45,火曜日（祝日の場合は営業し代休あり）,0547-37-3297,0547373298,http://shizuoka.j47.jp/ryugetsudo/,34.832192,138.179485,http://maps.google.com/maps?daddr=34.832192,138.179485&saddr=%E7%8F%BE%E5%9C%A8%E5%9C%B0&dirflg=d&t=m
